respondent_id,persona_seed,age,monthly_income,city_tier,primary_channel,category,price_sensitivity,quality_expectation,convenience_need,sustainability_attitude,willingness_to_pay,awareness,consideration,trial,repeat_purchase,monthly_purchase_frequency,satisfaction,nps,feedback_theme_seed,feedback_text,segment_id,segment
R000001,value_seekers,30,6909.61,tier_2,jd,ready_to_drink,7.7,5.86,6.04,4.99,17.35,0,0,0,0,0,7.66,5,promotion,membership coupons can increase repeat purchase,2,Value Seekers
R000002,convenience_first,35,19175.59,tier_3_plus,douyin,healthy_snack,5.38,7.59,9.87,5.11,30.27,0,1,0,0,1,7.09,6,delivery,stockouts make me switch to other brands,3,Convenience Driven
R000003,quality_first,29,9603.56,new_tier_1,jd,personal_care,5.74,7.56,6.41,4.78,35.77,1,1,1,1,4,5.37,1,promotion,livestream promotion helps me discover new products,2,Value Seekers
R000004,quality_first,29,10089.55,tier_2,tmall,home_cleaning,5.66,9.39,6.4,4.73,35.6,0,1,1,1,1,8.59,10,promotion,membership coupons can increase repeat purchase,1,Quality Loyalists
R000005,quality_first,27,11682.19,tier_1,private_domain,personal_care,6.36,9.51,5.82,7.39,31.74,1,1,1,1,3,10.0,7,promotion,livestream promotion helps me discover new products,1,Quality Loyalists
R000006,eco_advocates,19,27492.29,new_tier_1,tmall,ready_to_drink,5.34,8.34,7.45,8.92,34.68,0,1,0,0,1,9.57,10,delivery,stockouts make me switch to other brands,4,Eco Advocates
R000007,new_explorers,25,5585.58,tier_2,offline_supermarket,ready_to_drink,7.93,6.75,6.06,6.09,22.55,0,0,0,1,1,6.87,9,packaging,the packaging is convenient but could look more premium,0,High Value Fans
R000008,value_seekers,28,4580.92,tier_1,tmall,healthy_snack,9.33,7.63,6.83,5.06,17.57,1,1,0,1,4,7.56,6,promotion,KOL reviews are useful but need to be authentic,0,High Value Fans
R000009,convenience_first,41,13959.02,tier_3_plus,private_domain,ready_to_drink,4.58,6.68,10.0,5.55,21.82,1,1,1,1,5,8.46,8,delivery,delivery speed affects whether I choose the brand,3,Convenience Driven
R000010,quality_first,35,17214.32,tier_3_plus,private_domain,personal_care,5.0,8.85,6.62,7.58,27.94,1,1,1,1,1,10.0,10,quality,quality improvement would make me repurchase more often,1,Quality Loyalists
R000011,new_explorers,31,9892.16,tier_1,jd,ready_to_drink,7.7,7.47,6.03,5.95,21.77,0,1,1,1,1,8.86,8,promotion,KOL reviews are useful but need to be authentic,0,High Value Fans
R000012,new_explorers,32,14210.28,tier_2,private_domain,home_cleaning,6.28,7.37,6.73,5.13,22.43,1,1,1,1,8,7.52,8,delivery,offline availability is not always convenient,0,High Value Fans
R000013,convenience_first,33,5112.31,tier_2,tmall,home_cleaning,5.26,6.81,9.42,6.06,23.99,1,1,0,1,3,9.78,10,quality,I care about ingredients and product safety,3,Convenience Driven
R000014,eco_advocates,41,5655.52,tier_2,douyin,ready_to_drink,5.35,6.84,5.66,8.82,28.17,1,1,1,1,4,8.9,9,delivery,offline availability is not always convenient,4,Eco Advocates
R000015,convenience_first,29,15555.79,new_tier_1,private_domain,ready_to_drink,5.54,7.66,8.25,6.62,26.9,0,0,0,1,6,10.0,10,promotion,KOL reviews are useful but need to be authentic,3,Convenience Driven
R000016,eco_advocates,38,4447.39,tier_3_plus,tmall,ready_to_drink,5.85,8.85,7.94,8.71,31.62,0,0,0,0,0,8.41,8,sustainability,I prefer brands with recyclable packaging,4,Eco Advocates
R000017,quality_first,32,5840.19,tier_1,jd,ready_to_drink,4.78,10.0,6.3,7.42,31.27,1,1,0,1,3,10.0,10,quality,I care about ingredients and product safety,1,Quality Loyalists
R000018,quality_first,18,9642.3,tier_2,private_domain,healthy_snack,4.7,8.43,5.97,5.28,37.41,0,0,0,1,5,9.37,9,quality,I care about ingredients and product safety,1,Quality Loyalists
R000019,quality_first,21,19112.55,new_tier_1,tmall,personal_care,4.3,10.0,6.13,6.39,31.0,1,1,0,1,2,9.49,8,quality,quality improvement would make me repurchase more often,1,Quality Loyalists
R000020,value_seekers,26,6134.68,tier_3_plus,jd,ready_to_drink,8.68,7.29,6.53,5.16,19.15,1,1,1,1,4,6.79,7,quality,I care about ingredients and product safety,0,High Value Fans
R000021,convenience_first,37,6137.84,tier_1,jd,healthy_snack,4.63,6.9,9.2,6.51,28.88,1,1,1,1,3,9.08,7,quality,I care about ingredients and product safety,3,Convenience Driven
R000022,quality_first,18,7341.29,new_tier_1,jd,ready_to_drink,3.72,9.04,5.15,6.64,32.85,1,1,1,1,6,8.1,7,promotion,livestream promotion helps me discover new products,1,Quality Loyalists
R000023,convenience_first,20,13317.66,tier_1,offline_supermarket,healthy_snack,5.13,5.9,9.32,4.31,29.94,1,0,0,0,0,8.74,8,promotion,livestream promotion helps me discover new products,3,Convenience Driven
R000024,value_seekers,34,2604.85,tier_2,tmall,healthy_snack,9.11,5.86,4.09,5.66,14.58,0,0,1,0,2,6.82,6,delivery,stockouts make me switch to other brands,2,Value Seekers
R000025,quality_first,41,6898.14,new_tier_1,jd,personal_care,4.56,9.45,5.92,6.52,39.13,1,1,1,1,0,9.63,10,packaging,the packaging is convenient but could look more premium,1,Quality Loyalists
R000026,quality_first,24,6765.72,tier_3_plus,offline_supermarket,personal_care,4.68,10.0,6.37,6.98,29.42,1,1,1,1,4,10.0,10,quality,the product quality is stable and trustworthy,1,Quality Loyalists
R000027,value_seekers,37,17967.13,tier_3_plus,private_domain,home_cleaning,9.5,5.43,7.7,5.72,19.0,1,1,1,1,4,6.23,4,delivery,stockouts make me switch to other brands,2,Value Seekers
R000028,convenience_first,18,11775.95,tier_3_plus,private_domain,healthy_snack,5.55,5.92,9.55,5.39,25.42,1,1,0,1,4,8.49,10,price,I compare price across platforms before purchase,3,Convenience Driven
R000029,quality_first,34,10710.45,new_tier_1,tmall,ready_to_drink,3.92,9.97,5.31,5.46,39.31,1,0,1,0,2,8.64,10,delivery,delivery speed affects whether I choose the brand,1,Quality Loyalists
R000030,quality_first,33,5506.06,tier_2,tmall,healthy_snack,1.98,8.26,7.04,6.91,24.82,1,1,1,1,1,10.0,9,promotion,livestream promotion helps me discover new products,1,Quality Loyalists
R000031,value_seekers,30,11354.55,tier_2,jd,healthy_snack,8.83,6.32,6.36,6.18,15.68,0,1,1,1,6,8.44,7,packaging,portable packaging is useful for work and travel,0,High Value Fans
R000032,new_explorers,28,6553.34,new_tier_1,xiaohongshu,personal_care,7.13,8.35,5.84,7.11,27.72,1,1,1,1,1,9.14,10,delivery,offline availability is not always convenient,1,Quality Loyalists
R000033,eco_advocates,30,9384.01,new_tier_1,offline_supermarket,healthy_snack,4.93,8.03,6.39,9.06,41.64,1,1,1,1,2,9.9,10,promotion,membership coupons can increase repeat purchase,4,Eco Advocates
R000034,convenience_first,34,7740.29,new_tier_1,douyin,ready_to_drink,6.2,6.52,9.59,5.73,33.55,1,1,1,1,3,10.0,10,delivery,offline availability is not always convenient,3,Convenience Driven
R000035,quality_first,28,8919.47,tier_1,private_domain,healthy_snack,5.38,8.78,6.0,5.36,26.44,1,1,0,0,0,10.0,10,quality,I care about ingredients and product safety,1,Quality Loyalists
R000036,new_explorers,32,12891.69,new_tier_1,jd,healthy_snack,6.7,6.91,6.13,6.02,25.66,0,0,0,0,0,8.66,10,price,discount bundles make me more willing to buy,0,High Value Fans
R000037,convenience_first,32,8607.81,tier_2,tmall,ready_to_drink,6.61,7.21,8.93,5.48,21.63,1,1,0,0,0,7.47,5,price,I compare price across platforms before purchase,2,Value Seekers
R000038,quality_first,34,9706.57,tier_1,jd,healthy_snack,5.07,7.86,6.76,5.75,31.65,1,1,1,1,3,10.0,8,packaging,the packaging is convenient but could look more premium,1,Quality Loyalists
R000039,new_explorers,24,10633.31,tier_3_plus,tmall,healthy_snack,6.44,5.35,6.72,6.73,21.45,1,1,1,1,1,8.88,9,packaging,the package design should show product benefits more clearly,0,High Value Fans
R000040,quality_first,39,16511.14,tier_3_plus,offline_supermarket,ready_to_drink,4.39,8.42,6.27,6.94,31.38,0,1,1,1,0,8.81,10,delivery,delivery speed affects whether I choose the brand,1,Quality Loyalists
R000041,convenience_first,42,21376.89,tier_3_plus,offline_supermarket,ready_to_drink,5.8,6.26,9.19,5.77,30.54,0,0,0,1,3,7.35,8,packaging,portable packaging is useful for work and travel,3,Convenience Driven
R000042,quality_first,33,6173.38,tier_1,xiaohongshu,ready_to_drink,6.8,8.91,8.76,5.15,23.21,1,1,1,1,7,10.0,9,packaging,portable packaging is useful for work and travel,3,Convenience Driven
R000043,value_seekers,38,13902.36,tier_3_plus,xiaohongshu,ready_to_drink,8.39,7.36,5.88,6.75,23.07,1,1,1,1,3,6.07,6,price,the price feels high without promotion,2,Value Seekers
R000044,eco_advocates,35,5029.37,new_tier_1,private_domain,ready_to_drink,5.04,6.93,7.81,9.04,28.88,0,0,1,1,4,9.18,9,sustainability,sustainability claims need to be more credible,4,Eco Advocates
R000045,value_seekers,42,17569.36,tier_3_plus,tmall,personal_care,7.68,5.52,4.6,5.81,19.61,0,0,0,0,1,7.59,8,price,discount bundles make me more willing to buy,0,High Value Fans
R000046,quality_first,28,13462.0,tier_2,jd,home_cleaning,5.6,8.9,7.29,5.47,33.98,1,1,0,0,1,6.81,8,promotion,KOL reviews are useful but need to be authentic,1,Quality Loyalists
R000047,convenience_first,33,9182.86,tier_1,tmall,healthy_snack,5.57,6.0,8.53,5.24,17.91,1,1,0,1,4,8.89,7,packaging,the packaging is convenient but could look more premium,3,Convenience Driven
R000048,value_seekers,26,22619.96,tier_1,xiaohongshu,healthy_snack,9.57,7.23,5.68,4.42,23.63,0,0,0,0,0,4.25,3,promotion,membership coupons can increase repeat purchase,2,Value Seekers
R000049,eco_advocates,42,17861.59,tier_2,offline_supermarket,healthy_snack,6.22,6.69,5.46,10.0,35.52,0,0,0,0,0,8.3,7,promotion,KOL reviews are useful but need to be authentic,4,Eco Advocates
R000050,convenience_first,40,5157.59,tier_1,jd,ready_to_drink,6.59,5.92,8.67,6.76,25.41,1,1,1,1,5,9.43,9,delivery,offline availability is not always convenient,3,Convenience Driven
R000051,convenience_first,40,10004.5,tier_3_plus,offline_supermarket,ready_to_drink,5.38,7.28,8.67,6.33,17.21,0,0,1,1,2,8.91,10,price,discount bundles make me more willing to buy,3,Convenience Driven
R000052,quality_first,43,16351.46,tier_2,jd,healthy_snack,5.78,9.89,6.51,5.93,38.57,0,0,0,1,5,10.0,9,quality,quality improvement would make me repurchase more often,1,Quality Loyalists
R000053,quality_first,25,10958.63,tier_3_plus,private_domain,personal_care,5.09,8.94,5.9,4.25,27.49,1,0,0,0,0,8.7,10,promotion,livestream promotion helps me discover new products,1,Quality Loyalists
R000054,quality_first,22,19481.98,tier_2,jd,ready_to_drink,3.35,8.64,6.3,5.06,32.78,1,1,1,1,6,9.64,10,packaging,the package design should show product benefits more clearly,1,Quality Loyalists
R000055,quality_first,29,9981.36,tier_3_plus,tmall,home_cleaning,5.44,8.51,6.51,6.91,34.02,1,1,1,1,3,8.9,8,quality,I care about ingredients and product safety,1,Quality Loyalists
R000056,convenience_first,40,34585.04,tier_2,jd,healthy_snack,5.03,5.44,9.4,5.13,24.47,1,1,1,1,5,9.24,8,sustainability,sustainability claims need to be more credible,3,Convenience Driven
R000057,convenience_first,42,7261.83,tier_3_plus,jd,ready_to_drink,5.44,7.0,8.54,4.94,22.81,1,1,1,1,4,9.41,9,promotion,livestream promotion helps me discover new products,3,Convenience Driven
R000058,quality_first,27,8472.61,tier_1,jd,healthy_snack,3.65,9.69,7.17,6.7,33.77,1,1,1,1,3,10.0,9,quality,I care about ingredients and product safety,1,Quality Loyalists
R000059,value_seekers,30,21191.45,tier_2,offline_supermarket,healthy_snack,7.94,6.55,5.3,4.42,18.42,0,1,0,0,1,4.91,3,price,the price feels high without promotion,2,Value Seekers
R000060,eco_advocates,32,6836.0,tier_1,jd,ready_to_drink,6.84,7.53,5.86,9.21,25.99,1,1,1,1,7,7.6,8,sustainability,sustainability claims need to be more credible,4,Eco Advocates
R000061,convenience_first,29,13648.82,tier_1,jd,ready_to_drink,5.88,6.42,8.38,4.65,22.03,0,1,1,1,4,8.8,9,price,discount bundles make me more willing to buy,3,Convenience Driven
R000062,quality_first,18,7395.69,tier_1,douyin,healthy_snack,5.49,8.71,7.65,5.31,31.62,1,1,1,0,1,9.38,8,quality,the product quality is stable and trustworthy,1,Quality Loyalists
R000063,quality_first,33,4621.7,new_tier_1,offline_supermarket,ready_to_drink,4.81,9.12,6.22,7.37,28.81,0,0,0,0,0,9.58,10,packaging,the packaging is convenient but could look more premium,1,Quality Loyalists
R000064,value_seekers,30,7611.42,tier_2,private_domain,personal_care,6.87,7.11,6.6,5.04,13.77,1,1,1,1,1,9.7,7,sustainability,I prefer brands with recyclable packaging,0,High Value Fans
R000065,new_explorers,31,6874.14,new_tier_1,offline_supermarket,personal_care,8.11,5.57,6.54,6.68,20.76,1,1,1,0,0,6.75,6,quality,quality improvement would make me repurchase more often,2,Value Seekers
R000066,new_explorers,41,11794.9,new_tier_1,xiaohongshu,personal_care,7.29,6.84,6.91,6.35,24.49,0,0,0,0,0,8.06,8,sustainability,low carbon packaging would improve brand impression,0,High Value Fans
R000067,value_seekers,28,13747.01,tier_3_plus,tmall,ready_to_drink,6.27,5.55,6.17,5.91,19.57,0,1,1,1,4,8.83,8,sustainability,sustainability claims need to be more credible,0,High Value Fans
R000068,quality_first,30,10556.89,tier_2,private_domain,healthy_snack,5.65,9.52,6.28,7.58,35.13,0,1,1,0,3,9.52,9,quality,the product quality is stable and trustworthy,1,Quality Loyalists
R000069,eco_advocates,19,12368.9,tier_1,douyin,ready_to_drink,4.9,7.07,5.65,8.92,32.31,1,1,1,0,1,8.54,9,quality,quality improvement would make me repurchase more often,4,Eco Advocates
R000070,quality_first,32,15517.14,new_tier_1,private_domain,personal_care,5.0,10.0,5.29,6.44,30.61,0,0,0,1,4,7.72,8,quality,I care about ingredients and product safety,1,Quality Loyalists
R000071,convenience_first,21,14313.4,tier_2,xiaohongshu,ready_to_drink,4.78,7.0,9.4,6.7,28.46,1,1,1,1,5,10.0,9,promotion,KOL reviews are useful but need to be authentic,3,Convenience Driven
R000072,quality_first,41,11019.16,tier_2,private_domain,ready_to_drink,5.03,9.21,6.18,6.89,36.55,1,1,1,1,4,10.0,10,promotion,KOL reviews are useful but need to be authentic,1,Quality Loyalists
R000073,eco_advocates,27,7637.05,new_tier_1,tmall,home_cleaning,5.85,7.44,6.59,9.39,29.56,1,1,1,1,4,10.0,9,sustainability,I prefer brands with recyclable packaging,4,Eco Advocates
R000074,new_explorers,36,10669.02,tier_2,douyin,healthy_snack,6.06,6.32,5.91,6.32,24.01,1,0,0,0,0,7.85,8,promotion,livestream promotion helps me discover new products,0,High Value Fans
R000075,new_explorers,37,6829.74,tier_2,offline_supermarket,personal_care,7.01,6.58,6.18,5.59,25.39,0,0,0,0,0,7.74,6,price,the price feels high without promotion,2,Value Seekers
R000076,convenience_first,27,11585.88,tier_3_plus,douyin,ready_to_drink,5.36,6.05,10.0,5.27,28.89,1,1,1,1,0,10.0,9,delivery,stockouts make me switch to other brands,3,Convenience Driven
R000077,value_seekers,28,14856.61,tier_1,offline_supermarket,ready_to_drink,8.11,7.0,6.3,5.2,15.09,0,0,1,1,3,10.0,10,price,I compare price across platforms before purchase,0,High Value Fans
R000078,new_explorers,34,25856.46,tier_1,tmall,ready_to_drink,6.53,7.11,6.78,5.75,26.34,1,1,0,0,0,7.54,6,quality,I care about ingredients and product safety,2,Value Seekers
