respondent_id,nps,satisfaction,feedback_text,topic_id
R000001,5,7.66,membership coupons can increase repeat purchase,1
R000002,6,7.09,stockouts make me switch to other brands,3
R000003,1,5.37,livestream promotion helps me discover new products,4
R000004,10,8.59,membership coupons can increase repeat purchase,1
R000005,7,10.0,livestream promotion helps me discover new products,4
R000006,10,9.57,stockouts make me switch to other brands,3
R000007,9,6.87,the packaging is convenient but could look more premium,5
R000008,6,7.56,KOL reviews are useful but need to be authentic,5
R000009,8,8.46,delivery speed affects whether I choose the brand,5
R000010,10,10.0,quality improvement would make me repurchase more often,0
R000011,8,8.86,KOL reviews are useful but need to be authentic,5
R000012,8,7.52,offline availability is not always convenient,5
R000013,10,9.78,I care about ingredients and product safety,2
R000014,9,8.9,offline availability is not always convenient,5
R000015,10,10.0,KOL reviews are useful but need to be authentic,5
R000016,8,8.41,I prefer brands with recyclable packaging,5
R000017,10,10.0,I care about ingredients and product safety,2
R000018,9,9.37,I care about ingredients and product safety,2
R000019,8,9.49,quality improvement would make me repurchase more often,0
R000020,7,6.79,I care about ingredients and product safety,2
R000021,7,9.08,I care about ingredients and product safety,2
R000022,7,8.1,livestream promotion helps me discover new products,4
R000023,8,8.74,livestream promotion helps me discover new products,4
R000024,6,6.82,stockouts make me switch to other brands,3
R000025,10,9.63,the packaging is convenient but could look more premium,5
R000026,10,10.0,the product quality is stable and trustworthy,0
R000027,4,6.23,stockouts make me switch to other brands,3
R000028,10,8.49,I compare price across platforms before purchase,1
R000029,10,8.64,delivery speed affects whether I choose the brand,5
R000030,9,10.0,livestream promotion helps me discover new products,4
R000031,7,8.44,portable packaging is useful for work and travel,5
R000032,10,9.14,offline availability is not always convenient,5
R000033,10,9.9,membership coupons can increase repeat purchase,1
R000034,10,10.0,offline availability is not always convenient,5
R000035,10,10.0,I care about ingredients and product safety,2
R000036,10,8.66,discount bundles make me more willing to buy,3
R000037,5,7.47,I compare price across platforms before purchase,1
R000038,8,10.0,the packaging is convenient but could look more premium,5
R000039,9,8.88,the package design should show product benefits more clearly,2
R000040,10,8.81,delivery speed affects whether I choose the brand,5
R000041,8,7.35,portable packaging is useful for work and travel,5
R000042,9,10.0,portable packaging is useful for work and travel,5
R000043,6,6.07,the price feels high without promotion,4
R000044,9,9.18,sustainability claims need to be more credible,5
R000045,8,7.59,discount bundles make me more willing to buy,3
R000046,8,6.81,KOL reviews are useful but need to be authentic,5
R000047,7,8.89,the packaging is convenient but could look more premium,5
R000048,3,4.25,membership coupons can increase repeat purchase,1
R000049,7,8.3,KOL reviews are useful but need to be authentic,5
R000050,9,9.43,offline availability is not always convenient,5
R000051,10,8.91,discount bundles make me more willing to buy,3
R000052,9,10.0,quality improvement would make me repurchase more often,0
R000053,10,8.7,livestream promotion helps me discover new products,4
R000054,10,9.64,the package design should show product benefits more clearly,2
R000055,8,8.9,I care about ingredients and product safety,2
R000056,8,9.24,sustainability claims need to be more credible,5
R000057,9,9.41,livestream promotion helps me discover new products,4
R000058,9,10.0,I care about ingredients and product safety,2
R000059,3,4.91,the price feels high without promotion,4
R000060,8,7.6,sustainability claims need to be more credible,5
R000061,9,8.8,discount bundles make me more willing to buy,3
R000062,8,9.38,the product quality is stable and trustworthy,0
R000063,10,9.58,the packaging is convenient but could look more premium,5
R000064,7,9.7,I prefer brands with recyclable packaging,5
R000065,6,6.75,quality improvement would make me repurchase more often,0
R000066,8,8.06,low carbon packaging would improve brand impression,5
R000067,8,8.83,sustainability claims need to be more credible,5
R000068,9,9.52,the product quality is stable and trustworthy,0
R000069,9,8.54,quality improvement would make me repurchase more often,0
R000070,8,7.72,I care about ingredients and product safety,2
