segment,topic_id,responses,avg_nps,purchase_frequency,repeat_rate,share,nps_gap,opportunity_score
Convenience Driven,5,471,8.7304,3.155,0.7473,0.0906,0.0,0.1477
Eco Advocates,5,487,8.5606,2.4168,0.6489,0.0937,0.0,0.1389
Quality Loyalists,5,360,8.8556,2.7917,0.7667,0.0692,0.0,0.1079
High Value Fans,5,338,8.1095,2.497,0.6953,0.065,0.0,0.0975
Value Seekers,5,298,5.4463,1.3557,0.3054,0.0573,0.3192,0.0961
Quality Loyalists,0,298,8.8691,2.7651,0.7718,0.0573,0.0,0.089
Value Seekers,1,193,5.456,1.2953,0.3109,0.0371,0.318,0.0616
Quality Loyalists,2,205,8.9024,2.5317,0.7073,0.0394,0.0,0.0594
Value Seekers,4,187,5.5508,1.1711,0.3048,0.036,0.3061,0.058
High Value Fans,1,190,8.2684,2.6526,0.7105,0.0365,0.0,0.0559
Convenience Driven,3,162,8.5247,2.9321,0.7531,0.0312,0.0,0.0494
High Value Fans,4,165,8.1152,2.6485,0.7091,0.0317,0.0,0.0485
High Value Fans,3,160,8.1562,2.2938,0.625,0.0308,0.0,0.0449
Value Seekers,3,140,5.4429,1.3143,0.2857,0.0269,0.3196,0.0449
Convenience Driven,1,117,8.6581,3.2393,0.7863,0.0225,0.0,0.0371
Convenience Driven,2,115,8.5391,2.8522,0.7913,0.0221,0.0,0.0347
Quality Loyalists,3,112,8.9554,2.9732,0.7679,0.0215,0.0,0.0343
Quality Loyalists,1,119,9.0084,2.4286,0.7479,0.0229,0.0,0.034
Quality Loyalists,4,115,8.9217,2.3826,0.713,0.0221,0.0,0.0327
Convenience Driven,4,108,8.6574,2.6574,0.7407,0.0208,0.0,0.0318
Convenience Driven,0,103,8.5243,2.932,0.767,0.0198,0.0,0.0314
Value Seekers,2,93,5.3656,1.5376,0.3763,0.0179,0.3293,0.0311
Value Seekers,0,96,5.5833,1.2708,0.3021,0.0185,0.3021,0.0301
High Value Fans,0,103,8.3204,2.4466,0.6602,0.0198,0.0,0.0295
Eco Advocates,0,93,8.5806,2.4194,0.6882,0.0179,0.0,0.0265
High Value Fans,2,87,8.2529,2.5172,0.7471,0.0167,0.0,0.0252
Eco Advocates,1,80,8.525,2.7125,0.775,0.0154,0.0,0.0237
Eco Advocates,2,73,8.8493,2.2055,0.7534,0.014,0.0,0.0202
Eco Advocates,4,65,8.4,2.8308,0.7231,0.0125,0.0,0.0196
Eco Advocates,3,67,8.6418,2.3881,0.6567,0.0129,0.0,0.019
