group,stage,count,rate_from_total,step_conversion,drop_off
Convenience Driven,awareness,693,0.6441,0.6441,383
Convenience Driven,consideration,782,0.7268,1.1284,-89
Convenience Driven,trial,747,0.6942,0.9552,35
Convenience Driven,repeat_purchase,816,0.7584,1.0924,-69
Eco Advocates,awareness,568,0.6566,0.6566,297
Eco Advocates,consideration,644,0.7445,1.1338,-76
Eco Advocates,trial,562,0.6497,0.8727,82
Eco Advocates,repeat_purchase,588,0.6798,1.0463,-26
High Value Fans,awareness,689,0.6606,0.6606,354
High Value Fans,consideration,738,0.7076,1.0711,-49
High Value Fans,trial,620,0.5944,0.8401,118
High Value Fans,repeat_purchase,720,0.6903,1.1613,-100
Quality Loyalists,awareness,773,0.6394,0.6394,436
Quality Loyalists,consideration,928,0.7676,1.2005,-155
Quality Loyalists,trial,800,0.6617,0.8621,128
Quality Loyalists,repeat_purchase,908,0.751,1.135,-108
Value Seekers,awareness,641,0.6365,0.6365,366
Value Seekers,consideration,613,0.6087,0.9563,28
Value Seekers,trial,417,0.4141,0.6803,196
Value Seekers,repeat_purchase,312,0.3098,0.7482,105
